# Format:
# class | code | code_name | value | value_name

RASCi | n | Nudity | 0 | none
RASCi | n | Nudity | 1 | revealing attire
RASCi | n | Nudity | 2 | partial nudity
RASCi | n | Nudity | 3 | frontal nudity
RASCi | n | Nudity | 4 | frontal nudity that qualifies as a provocative display of nudity

RASCi | s | Sex | 0 | none / innocent kissing or romance
RASCi | s | Sex | 1 | passionate kissing
RASCi | s | Sex | 2 | non-explicit sexual touching / clothed sexual touching
RASCi | s | Sex | 3 | non-explicit sexual acts
RASCi | s | Sex | 4 | sex crimes / explicit sexual acts

RASCi | l | Language | 0 | none
RASCi | l | Language | 1 | non-sexual anatomical reference / mild expletives / mild terms for body functions / slang
RASCi | l | Language | 2 | profanity / moderate expletives
RASCi | l | Language | 3 | strong language / obscene gestures / hate speech or strong epithets against any person or group
RASCi | l | Language | 4 | crude, vulgar language / explicit sexual references / extreme hate speech / epithets that advocate violence or harm against a person or group

RASCi | v | Violence | 0 | none / sports violence
RASCi | v | Violence | 1 | injury to human beings / the death of non-human beings resulting from natural acts or accidents / damage to or disappearance of realistic objects
RASCi | v | Violence | 2 | the destruction of realistic objects with an implied social presence
RASCi | v | Violence | 3 | blood and gore / intentional aggressive violence / death to human beings
RASCi | v | Violence | 4 | wanton, gratuitous violence / extreme blood and gore / rape

SafeSurf | 000 | Age Range | 0 | [ no filtering ]
SafeSurf | 000 | Age Range | 1 | All Ages
SafeSurf | 000 | Age Range | 2 | Older Children
SafeSurf | 000 | Age Range | 3 | Teens
SafeSurf | 000 | Age Range | 4 | Older Teens
SafeSurf | 000 | Age Range | 5 | Adult Supervision Recommended
SafeSurf | 000 | Age Range | 6 | Adults
SafeSurf | 000 | Age Range | 7 | Limited to Adults
SafeSurf | 000 | Age Range | 8 | Adults Only
SafeSurf | 000 | Age Range | 9 | Explicitly for Adults

SafeSurf | 001 | Profanity | 0 | [ no filtering ]
SafeSurf | 001 | Profanity | 1 | Subtle Innuendo - Subtly Implied through the use of Slang
SafeSurf | 001 | Profanity | 2 | Explicit Innuendo - Explicitly implied through the use of Slang
SafeSurf | 001 | Profanity | 3 | Technical Reference - Dictionary, encyclopedic, news, technical references
SafeSurf | 001 | Profanity | 4 | Non-Graphic-Artistic - Limited non-sexual expletives used in a artistic fashion
SafeSurf | 001 | Profanity | 5 | Graphic-Artistic - Non-sexual expletives used in a artistic fashion
SafeSurf | 001 | Profanity | 6 | Graphic - Limited use of expletives and obscene gestures
SafeSurf | 001 | Profanity | 7 | Detailed Graphic - Casual use of expletives and obscene gestures.
SafeSurf | 001 | Profanity | 8 | Explicit Vulgarity - Heavy use of vulgar language and obscene gestures. Unsupervised Chat Rooms.
SafeSurf | 001 | Profanity | 9 | Explicit and Crude - Saturated with crude sexual references and gestures. Unsupervised Chat Rooms.

SafeSurf | 002 | Heterosexual Themes | 0 | [ no filtering ]
SafeSurf | 002 | Heterosexual Themes | 1 | Subtle Innuendo - Subtly Implied through the use of metaphor
SafeSurf | 002 | Heterosexual Themes | 2 | Explicit Innuendo - Explicitly implied (not described) through the use of metaphor
SafeSurf | 002 | Heterosexual Themes | 3 | Technical Reference - Dictionary, encyclopedic, news, medical references
SafeSurf | 002 | Heterosexual Themes | 4 | Non-Graphic-Artistic - Limited metaphoric descriptions used in an artistic fashion
SafeSurf | 002 | Heterosexual Themes | 5 | Graphic-Artistic - Metaphoric descriptions used in an artistic fashion
SafeSurf | 002 | Heterosexual Themes | 6 | Graphic - Descriptions of intimate sexual acts
SafeSurf | 002 | Heterosexual Themes | 7 | Detailed Graphic - Descriptions of intimate details of sexual acts
SafeSurf | 002 | Heterosexual Themes | 8 | Explicitly Graphic or Inviting Participation - Explicit Descriptions of intimate details of sexual acts designed to arouse. Inviting interactive sexual participation. Unsupervised Sexual Chat Rooms or Newsgroups.
SafeSurf | 002 | Heterosexual Themes | 9 | Explicit and Crude or Explicitly Inviting Participation - Profane Graphic Descriptions of intimate details of sexual acts designed to arouse. Inviting interactive sexual participation. Unsupervised Sexual Chat Rooms or Newsgroups.

SafeSurf | 003 | Homosexual Themes | 0 | [ no filtering ]
SafeSurf | 003 | Homosexual Themes | 1 | Subtle Innuendo - Subtly Implied through the use of metaphor
SafeSurf | 003 | Homosexual Themes | 2 | Explicit Innuendo - Explicitly implied (not described) through the use of metaphor
SafeSurf | 003 | Homosexual Themes | 3 | Technical Reference - Dictionary, encyclopedic, news, medical references
SafeSurf | 003 | Homosexual Themes | 4 | Non-Graphic-Artistic - Limited metaphoric descriptions used in an artistic fashion
SafeSurf | 003 | Homosexual Themes | 5 | Graphic-Artistic - Metaphoric descriptions used in an artistic fashion
SafeSurf | 003 | Homosexual Themes | 6 | Graphic - Descriptions of intimate sexual acts
SafeSurf | 003 | Homosexual Themes | 7 | Detailed Graphic - Descriptions of intimate details of sexual acts
